,DayLosersTi,Day Losers Name,Firm
0,EHTH,"eHealth, Inc.",KSF Council
1,FB,"Facebook, Inc.",KSF Council
2,GDRX,"GoodRx Holdings, Inc.",KSF Council
3,GES,"Guess?, Inc.",KSF Council
4,FIZZ,National Beverage Corp.,KSF Council
5,OCGN,"Ocugen, Inc.",KSF Council
6,ODT,"Odonate Therapeutics, Inc.",KSF Council
7,REGI,"Renewable Energy Group, Inc.",KSF Council
8,WORX,SCWorx Corp.,KSF Council
9,TVTY,"Tivity Health, Inc.",KSF Council
10,WFC,Wells Fargo & Company,KSF Council
11,HNST,"The Honest Company, Inc.",KSF Council
12,SAM,"The Boston Beer Company, Inc.",KSF Council
13,WDH,Waterdrop Inc.,KSF Council
14,APPH,"AppHarvest, Inc.",KSF Council
15,HYZN,Hyzon Motors Inc.,KSF Council
16,BMY,Bristol-Myers Squibb Company,KSF Council
17,EAR,"Eargo, Inc.",KSF Council
18,HEPS,D-MARKET Electronic Services & Trading,KSF Council
19,AMRN,Amarin Corporation plc,KSF Council
20,HMLP,H̦egh LNG Partners LP,KSF Council
21,XLRN,Acceleron Pharma Inc.,KSF Council
22,ADMS,"Adamas Pharmaceuticals, Inc.",KSF Council
23,ADTN,"ADTRAN, Inc.",KSF Council
24,AZPN,"Aspen Technology, Inc.",KSF Council
25,ACBI,"Atlantic Capital Bancshares, Inc.",KSF Council
26,AVCO,Avalon GloboCare Corp.,KSF Council
27,DWSN,Dawson Geophysical Company,KSF Council
28,DVCR,"Diversicare Healthcare Services, Inc.",KSF Council
29,DSPG,"DSP Group, Inc.",KSF Council
30,ECHO,"Echo Global Logistics, Inc.",KSF Council
31,ESBK,Elmira Savings Bank,KSF Council
32,XOG,"Extraction Oil & Gas, Inc.",KSF Council
33,FLXN,"Flexion Therapeutics, Inc.",KSF Council
34,FTSI,"FTS International, Inc.",KSF Council
35,FVCB,"FVCBankcorp, Inc.",KSF Council
36,GWB,"Great Western Bancorp, Inc.",KSF Council
37,GSKY,"GreenSky, Inc.",KSF Council
38,HRC,"Hill-Rom Holdings, Inc.",KSF Council
39,HFC,HollyFrontier Corporation,KSF Council
40,HOMB,"Home BancShares, Inc.",KSF Council
41,HBMD,"Howard Bancorp, Inc.",KSF Council
42,IRT,"Independence Realty Trust, Inc.",KSF Council
43,INOV,"Inovalon Holdings, Inc.",KSF Council
44,KDMN,"Kadmon Holdings, Inc.",KSF Council
45,KRA,Kraton Corporation,KSF Council
46,LCAP,Lionheart Acquisition Corporation II,KSF Council
47,MNTV,Momentive Global Inc.,KSF Council
48,PEBN,Pacific Enterprise Bancorp,KSF Council
49,PAE,PAE Incorporated,KSF Council
50,SQ,"Square, Inc.",KSF Council
51,GTS,Triple-S Management Corporation,KSF Council
52,TSC,"TriState Capital Holdings, Inc.",KSF Council
53,UMPQ,Umpqua Holdings Corporation,KSF Council
54,VLY,Valley National Bancorp,KSF Council
55,VICI,VICI Properties Inc.,KSF Council
56,WNRP,"West Suburban Bancorp, Inc.",KSF Council
